attrition,gender,birthday,age,staff_category,stock_options,job_title,hire_date,performance_rating,employee_satisfaction,last_promotion_date,recent_salary,prior_salary,last_raise,commute_distance,percent_travel,marital_status,education,employee_id
No,male,1983-04-16,36,Salaried,Eligible,Design Engineering Supervisor,2011-01-28,C,46,2016-04-23,96838,91356,5482,15,32,Single,Graduate Degree,2001471421
No,male,1977-08-02,41,Salaried,Not Eligible,Reactor Operator,2014-01-18,D,75,2016-10-29,77415,76648,767,34,48,Single,Some College,2001471422
No,female,1964-05-06,55,Hourly,Not Eligible,Engineer Design,2011-07-29,A,32,2017-05-01,190212,190212,0,13,81,Married,PhD,2001471423
No,female,1969-05-12,50,Salaried,Not Eligible,Test Data Acquisition Technician,2010-07-30,A,92,2016-02-26,142045,132752,9293,34,20,Married,Graduate Degree,2001471424
No,female,1973-01-26,46,Hourly,Not Eligible,Computer Systems Programmer,2010-05-06,A,76,2015-07-06,193366,180715,12651,39,41,Married,Bachelors Degree,2001471425
Yes,female,1965-08-25,53,Salaried,Not Eligible,Human Resources Manager Employee Relations,2008-01-30,C,60,2018-05-21,86554,78685,7869,38,16,Married,Graduate Degree,2001471426
Yes,male,1973-10-07,45,Hourly,Eligible,Drafter Cartographic,2011-10-14,D,47,2014-12-31,170440,150831,19609,16,89,Married,Bachelors Degree,2001471427
No,female,1976-08-20,42,Hourly,Not Eligible,Engineer Soils,2014-02-05,A,91,2018-04-10,170439,156366,14073,1,21,Single,Some College,2001471428
No,male,1967-04-01,52,Salaried,Not Eligible,Physician Radiologist Therapeutic,2010-10-22,A,81,2017-09-14,170823,148541,22282,2,94,Married,Some College,2001471429
No,female,1972-03-16,47,Salaried,Not Eligible,Pump Installer,2015-08-16,A,51,2015-09-11,51026,50520,506,18,34,Married,PhD,2001471430
No,female,1963-10-21,55,Salaried,Not Eligible,Company Doctor,2008-02-10,D,98,2015-09-21,91555,83231,8324,45,81,Married,Graduate Degree,2001471431
Yes,male,1983-08-10,35,Salaried,Not Eligible,Avionics Technician,2007-09-27,D,92,2016-07-14,76886,76886,0,38,79,Married,Some College,2001471432
Yes,female,1973-10-28,45,Salaried,Not Eligible,Field Services Supervisor,2014-06-27,D,100,2014-03-13,166932,162069,4863,17,44,Married,PhD,2001471433
No,female,1970-02-01,49,Salaried,Not Eligible,Supervisor Media,2013-06-09,B,86,2014-03-10,58900,58316,584,36,16,Married,PhD,2001471434
No,male,1965-09-02,53,Salaried,Not Eligible,Automobile Mechanic,2014-11-22,C,79,2017-05-20,117574,104047,13527,33,29,Single,PhD,2001471435
No,female,1978-12-10,40,Salaried,Not Eligible,Mine Superintendent,2005-06-06,C,95,2016-08-12,150209,139082,11127,5,28,Single,Graduate Degree,2001471436
No,female,1982-11-14,36,Salaried,Not Eligible,Manager Medical Laboratory,2013-11-29,B,36,2015-06-24,132539,126227,6312,16,20,Married,PhD,2001471437
No,female,1959-10-30,59,Salaried,Eligible,Airplane Flight Attendant,2015-01-11,A,85,2014-01-04,84514,80489,4025,33,71,Single,Graduate Degree,2001471438
No,female,1963-02-03,56,Salaried,Not Eligible,Sales Assistant,2009-01-11,C,68,2013-12-31,149947,148462,1485,44,99,Single,Some College,2001471439
No,male,1977-12-17,41,Salaried,Not Eligible,Clerk Credit Information,2016-01-22,A,86,2018-04-23,126736,118444,8292,15,55,Married,Bachelors Degree,2001471440
No,male,1970-08-01,48,Salaried,Not Eligible,Director Housekeeping,2010-05-13,D,65,2015-07-29,121857,121857,0,4,90,Single,PhD,2001471441
No,male,1977-03-23,42,Salaried,Not Eligible,Vice President Student Affairs,2004-07-12,B,32,2015-07-30,89135,83303,5832,9,83,Married,Bachelors Degree,2001471442
No,female,1979-05-03,40,Hourly,Not Eligible,Operator Front End Loader,2012-10-13,B,72,2016-07-29,190692,165819,24873,45,27,Married,PhD,2001471443
No,male,1959-12-26,59,Hourly,Not Eligible,Oiler,2011-03-02,B,98,2013-11-05,60819,57922,2897,9,21,Single,PhD,2001471444
No,female,1973-06-27,45,Salaried,Not Eligible,Data Security Coordinator,2018-04-30,D,41,2016-02-14,54164,47099,7065,11,98,Married,Bachelors Degree,2001471445
Yes,male,1967-04-14,52,Hourly,Eligible,Contractor Landscape,2018-05-31,A,75,2016-10-05,196478,178616,17862,29,17,Married,PhD,2001471446
No,male,1965-06-12,54,Salaried,Not Eligible,Switchboard Operator Receptionist,2013-07-11,D,87,2017-08-15,189045,165828,23217,11,89,Married,Bachelors Degree,2001471447
No,male,1969-06-17,50,Salaried,Not Eligible,Physician Neurologist,2011-06-18,B,70,2018-02-09,62466,56787,5679,30,15,Single,Bachelors Degree,2001471448
No,male,1977-05-21,42,Salaried,Not Eligible,Orderly,2005-06-04,D,62,2016-07-16,176189,163137,13052,23,32,Married,Graduate Degree,2001471449
Yes,male,1973-08-19,45,Salaried,Not Eligible,Inspector Final,2016-07-10,A,46,2016-04-18,165058,157198,7860,21,43,Single,Some College,2001471450
No,male,1971-04-17,48,Salaried,Eligible,Speech Pathologist,2007-03-26,C,61,2015-12-10,68391,67050,1341,16,83,Married,Some College,2001471451
Yes,male,1971-01-19,48,Hourly,Not Eligible,Retail Area Manager,2004-05-25,A,37,2017-04-17,187771,185911,1860,18,96,Single,Some College,2001471452
No,female,1968-02-04,51,Hourly,Eligible,Communications Manager,2006-08-18,A,74,2014-12-06,81407,74006,7401,45,92,Single,Some College,2001471453
No,female,1969-03-10,50,Salaried,Not Eligible,Medical Occupational Nurse,2007-08-06,C,57,2014-07-06,84219,74530,9689,26,32,Married,Some College,2001471454
No,male,1968-03-02,51,Salaried,Not Eligible,Manager Real Estate Firm,2013-01-09,B,85,2015-09-14,110091,101000,9091,5,76,Single,Graduate Degree,2001471455
No,female,1963-05-17,56,Salaried,Not Eligible,Repairer Bicycle,2017-05-29,A,60,2016-09-13,127409,123698,3711,30,88,Married,Some College,2001471456
No,male,1976-06-27,42,Hourly,Not Eligible,General Maintenance Supervisor,2005-09-03,A,99,2014-06-08,85050,76621,8429,44,54,Married,Some College,2001471457
Yes,male,1981-01-07,38,Hourly,Not Eligible,Laborer Shop,2004-05-17,A,59,2017-04-25,140188,125167,15021,2,36,Single,Graduate Degree,2001471458
No,male,1968-02-02,51,Salaried,Not Eligible,Operator Central Office,2008-11-01,B,43,2014-10-08,181959,181959,0,30,60,Single,Bachelors Degree,2001471459
No,male,1972-03-13,47,Salaried,Not Eligible,Electrician Certified,2008-11-29,B,61,2015-10-03,175264,173528,1736,19,55,Single,Bachelors Degree,2001471460
No,male,1976-04-27,43,Salaried,Not Eligible,Clerk Rental Facility,2013-03-03,D,72,2017-03-04,125319,112899,12420,29,62,Single,Graduate Degree,2001471461
Yes,male,1978-02-11,41,Salaried,Eligible,Teacher Home Therapy,2017-04-18,B,35,2013-11-24,63958,58143,5815,12,50,Single,Some College,2001471462
No,female,1970-12-22,48,Hourly,Eligible,Astronomer,2011-10-20,B,51,2016-08-15,171276,158588,12688,33,56,Married,Bachelors Degree,2001471463
Yes,female,1968-04-24,51,Hourly,Eligible,Research and Development Supervisor 1,2006-11-18,B,64,2017-04-24,158302,141341,16961,4,20,Single,Bachelors Degree,2001471464
No,female,1978-01-27,41,Hourly,Not Eligible,Banking Reserves Clerk,2010-05-31,B,56,2014-06-07,162426,150394,12032,15,76,Married,Bachelors Degree,2001471465
Yes,male,1970-11-24,48,Salaried,Not Eligible,Pollution Control Technician,2005-01-31,B,77,2017-04-02,76899,76899,0,11,34,Married,Graduate Degree,2001471466
No,female,1968-12-21,50,Salaried,Eligible,Grader Operator,2013-12-20,B,67,2018-04-12,129550,124567,4983,43,38,Married,Graduate Degree,2001471467
No,female,1975-09-01,43,Hourly,Not Eligible,Manager Long-Range Planning,2008-05-07,D,73,2016-10-02,134570,118043,16527,17,95,Married,Graduate Degree,2001471468
No,female,1960-06-19,59,Salaried,Not Eligible,Hair Cutter,2015-06-02,C,89,2013-12-19,60836,56856,3980,34,75,Married,PhD,2001471469
No,female,1978-02-21,41,Salaried,Eligible,Hearing Therapist,2009-11-09,A,54,2017-05-05,147608,129480,18128,8,65,Married,Graduate Degree,2001471470
No,female,1972-12-07,46,Hourly,Not Eligible,Manager Business College/University,2017-07-10,A,56,2016-05-07,97164,84490,12674,25,75,Single,PhD,2001471471
Yes,female,1983-07-10,35,Salaried,Eligible,Architect,2013-05-28,C,88,2018-05-18,137156,123563,13593,32,79,Married,PhD,2001471472
No,male,1978-11-07,40,Salaried,Not Eligible,Milling/Planing Machine Setup Operator,2006-03-21,A,90,2017-01-05,61966,60750,1216,22,81,Married,Graduate Degree,2001471473
No,male,1964-04-04,55,Salaried,Not Eligible,Teller Loan,2007-11-05,D,87,2014-03-23,143355,124656,18699,6,33,Married,Graduate Degree,2001471474
No,female,1962-05-05,57,Hourly,Not Eligible,Polisher,2005-02-28,C,89,2014-05-16,199742,199742,0,44,44,Married,Some College,2001471475
No,female,1960-01-06,59,Salaried,Not Eligible,Technician Lab Utilities,2014-11-18,C,40,2015-03-06,62939,57742,5197,11,34,Single,Some College,2001471476
No,female,1962-01-31,57,Salaried,Eligible,Technologist Polysomnographic,2012-06-11,B,61,2017-08-19,67664,60414,7250,35,59,Married,Graduate Degree,2001471477
No,male,1962-12-06,56,Hourly,Not Eligible,Bus Driver,2016-10-22,B,93,2015-11-07,182277,159892,22385,31,43,Married,Bachelors Degree,2001471478
No,male,1981-04-23,38,Hourly,Not Eligible,Pipefitter,2018-02-15,A,59,2015-07-14,150267,150267,0,38,66,Married,Some College,2001471479
No,female,1981-09-13,37,Salaried,Not Eligible,Clergy Member,2003-12-19,A,51,2016-03-24,176382,154721,21661,28,77,Single,Some College,2001471480
No,male,1977-09-26,41,Salaried,Eligible,Tool Design Supervisor,2017-11-25,A,57,2015-05-17,83433,83433,0,44,38,Married,Some College,2001471481
No,female,1972-03-28,47,Salaried,Eligible,Dry-Wall Finisher,2004-06-12,D,42,2014-01-09,128252,128252,0,28,74,Married,Graduate Degree,2001471482
No,female,1981-07-30,37,Salaried,Not Eligible,Traffic Engineer,2006-01-11,A,40,2013-12-03,77714,67577,10137,7,57,Married,PhD,2001471483
No,male,1971-04-20,48,Hourly,Eligible,Clerk Funds Transfer,2007-06-01,C,33,2013-08-15,66751,61806,4945,6,52,Married,PhD,2001471484
No,female,1978-12-13,40,Hourly,Eligible,Banking Installment Loan Clerk,2008-10-24,A,71,2015-04-25,152210,133517,18693,41,39,Married,PhD,2001471485
No,female,1963-01-01,56,Salaried,Not Eligible,Underwriter Property & Casual,2015-02-25,B,67,2015-10-10,188606,171460,17146,36,64,Married,Graduate Degree,2001471486
No,male,1972-12-21,46,Hourly,Not Eligible,Computer Security Coordinator,2016-07-25,C,84,2016-12-19,111912,103622,8290,16,78,Single,Bachelors Degree,2001471487
No,female,1958-08-21,60,Salaried,Eligible,Computer Data Entry Operator,2003-07-19,D,42,2015-12-07,69048,66392,2656,35,61,Single,Some College,2001471488
No,female,1962-04-13,57,Salaried,Not Eligible,Swimming Pool Servicer,2014-10-31,B,99,2013-06-26,177529,165914,11615,29,45,Married,Some College,2001471489
No,male,1959-04-02,60,Hourly,Not Eligible,Data Entry Operator Lead,2011-07-30,A,87,2014-04-09,69210,67852,1358,9,24,Single,Bachelors Degree,2001471490
No,female,1972-11-06,46,Hourly,Not Eligible,Food Chemist,2003-12-10,A,61,2014-08-02,125575,120745,4830,2,15,Married,Some College,2001471491
No,female,1962-11-05,56,Salaried,Not Eligible,Marketing Information Supervisor,2010-07-10,A,62,2017-05-04,172658,172658,0,10,29,Married,Graduate Degree,2001471492
Yes,female,1962-04-27,57,Hourly,Not Eligible,Engineer Documentation,2004-12-14,C,52,2017-11-01,69282,68596,686,22,89,Single,Bachelors Degree,2001471493
No,male,1969-07-27,49,Salaried,Not Eligible,Author Web,2017-06-08,D,90,2015-10-25,114438,100384,14054,29,68,Married,Graduate Degree,2001471494
No,male,1973-11-13,45,Salaried,Eligible,Food Scientist,2005-12-22,C,35,2016-04-15,98480,91185,7295,3,62,Single,PhD,2001471495
No,male,1979-09-04,39,Salaried,Not Eligible,Inspector Aircraft,2010-02-25,D,93,2014-02-13,62938,59375,3563,21,28,Single,Graduate Degree,2001471496
Yes,male,1964-11-12,54,Hourly,Not Eligible,Surveyor Helper,2013-01-31,A,89,2018-05-12,89565,89565,0,15,84,Married,Some College,2001471497
No,female,1968-11-22,50,Hourly,Not Eligible,Flight Engineer,2017-07-09,C,67,2013-08-19,197599,179635,17964,18,93,Single,PhD,2001471498
No,female,1966-12-15,52,Salaried,Not Eligible,Employment Interviewer,2010-10-21,B,85,2017-06-03,99943,90038,9905,21,86,Married,Graduate Degree,2001471499
No,female,1983-01-01,36,Salaried,Not Eligible,Medical Quality Assurance,2014-12-23,A,69,2015-03-30,168162,160154,8008,34,34,Married,Some College,2001471500
No,female,1977-06-09,42,Salaried,Eligible,Staff Nurse,2006-07-11,B,34,2016-09-10,182030,182030,0,38,16,Single,Some College,2001471501
No,female,1960-07-10,58,Salaried,Not Eligible,Microelectronics Technician,2017-01-20,C,72,2014-01-09,70321,62230,8091,18,68,Married,Bachelors Degree,2001471502
No,female,1983-04-17,36,Salaried,Not Eligible,Power Shear Operator,2005-09-27,B,85,2017-09-12,163439,143367,20072,15,45,Married,Some College,2001471503
No,female,1980-05-06,39,Hourly,Not Eligible,Repairer Power Tool,2016-02-23,A,41,2015-06-22,84190,77238,6952,2,67,Single,Graduate Degree,2001471504
Yes,male,1965-09-27,53,Salaried,Not Eligible,Computer Systems Engineer,2015-04-27,C,82,2015-01-27,85330,76187,9143,4,41,Married,Bachelors Degree,2001471505
No,male,1972-06-17,47,Hourly,Not Eligible,IT Manager Software Design,2008-11-30,A,72,2016-06-13,54201,54201,0,19,14,Married,Graduate Degree,2001471506
No,male,1980-02-08,39,Hourly,Not Eligible,Medical Nurse Office,2010-01-25,B,87,2016-05-08,195972,195972,0,4,50,Single,Graduate Degree,2001471507
No,male,1971-09-12,47,Salaried,Eligible,Customs Analyst,2011-08-11,C,87,2015-10-21,163461,157174,6287,34,94,Single,Graduate Degree,2001471508
No,male,1969-05-25,50,Hourly,Not Eligible,Research & Development Manager 2,2010-05-17,A,54,2016-02-01,192708,178433,14275,33,58,Married,Bachelors Degree,2001471509
No,male,1976-05-08,43,Hourly,Not Eligible,Registered Representative,2003-11-22,C,93,2014-12-11,72699,72699,0,22,16,Married,Some College,2001471510
Yes,male,1966-06-02,53,Salaried,Not Eligible,Retail Sales Home Furnishings,2012-12-25,D,91,2015-03-30,108939,99035,9904,17,31,Married,PhD,2001471511
No,female,1963-02-21,56,Salaried,Not Eligible,Scheduler Vehicle Maintenance,2016-02-23,A,40,2014-01-05,142635,138480,4155,23,15,Single,PhD,2001471512
No,male,1965-10-28,53,Salaried,Eligible,Civil Engineer,2008-01-15,C,76,2018-03-16,107825,103677,4148,25,78,Married,Some College,2001471513
No,female,1977-08-23,41,Hourly,Eligible,Electronics Tester,2010-05-03,C,44,2017-05-31,132187,119087,13100,32,17,Married,Some College,2001471514
No,female,1961-05-13,58,Salaried,Not Eligible,Machinery Erector,2010-07-04,C,62,2013-11-03,160234,154071,6163,11,24,Single,PhD,2001471515
Yes,male,1972-01-10,47,Salaried,Not Eligible,Systems Analyst,2007-01-16,A,87,2016-01-10,95287,82858,12429,8,17,Single,PhD,2001471516
No,male,1971-09-01,47,Salaried,Eligible,Supervisor Property Management,2017-10-20,C,76,2016-03-02,104114,102072,2042,1,71,Married,Some College,2001471517
No,female,1982-11-08,36,Salaried,Not Eligible,Process Design Analyst,2009-12-02,D,50,2015-08-01,155183,147793,7390,17,43,Married,PhD,2001471518
No,male,1971-08-25,47,Salaried,Not Eligible,Engineer Computer Methods,2007-03-08,B,31,2017-02-23,143273,139100,4173,6,56,Married,Some College,2001471519
Yes,female,1961-11-14,57,Salaried,Eligible,Aide Psychiatric,2013-07-09,A,74,2013-10-14,119584,103986,15598,16,86,Married,PhD,2001471520
Yes,male,1970-07-08,48,Salaried,Eligible,Instrument Repairer Electrical,2015-08-09,B,36,2014-07-02,109715,97959,11756,39,61,Single,Some College,2001471521
No,male,1968-08-14,50,Salaried,Not Eligible,Assistant Branch Manager 2 Bank,2007-12-14,C,62,2017-04-28,142096,129178,12918,22,87,Single,PhD,2001471522
No,male,1967-07-30,51,Hourly,Not Eligible,Shipping & Receiving Clerk,2013-08-21,C,92,2013-11-08,106601,106601,0,9,92,Single,Bachelors Degree,2001471523
Yes,male,1979-08-03,39,Salaried,Not Eligible,Engineer Safety,2017-06-19,D,39,2017-07-17,190615,173286,17329,40,76,Married,Graduate Degree,2001471524
No,female,1971-08-01,47,Salaried,Eligible,Operator Laundry,2014-01-26,B,40,2013-09-04,98224,88490,9734,18,29,Married,Some College,2001471525
No,female,1982-12-24,36,Salaried,Not Eligible,Nurse Anesthetist,2017-05-14,B,33,2014-05-09,142336,128230,14106,24,13,Married,PhD,2001471526
Yes,male,1974-09-04,44,Hourly,Not Eligible,Employment Recruiter Professional,2007-01-04,A,52,2018-05-22,55943,55389,554,22,56,Married,Graduate Degree,2001471527
No,male,1979-07-31,39,Salaried,Not Eligible,Exterminator Pest,2009-09-16,C,34,2017-05-19,158434,150889,7545,5,10,Married,PhD,2001471528
No,female,1961-01-12,58,Salaried,Not Eligible,Logistics Engineering Technician,2004-09-08,D,42,2014-08-23,171448,149085,22363,31,45,Married,PhD,2001471529
No,female,1961-05-06,58,Salaried,Not Eligible,Engineer Aerodynamics,2011-12-07,A,43,2016-11-16,126881,111299,15582,23,97,Single,PhD,2001471530
Yes,male,1984-02-28,35,Salaried,Eligible,Support Specialist (Micro),2004-12-02,B,41,2018-05-13,177085,167061,10024,23,72,Married,PhD,2001471531
No,female,1959-01-27,60,Salaried,Not Eligible,Operator Hoist & Winch,2008-05-12,C,32,2015-01-23,198091,173764,24327,5,74,Married,Bachelors Degree,2001471532
No,male,1971-01-17,48,Salaried,Not Eligible,Foreman Mechanic,2012-12-07,A,34,2017-05-09,171981,163791,8190,30,15,Married,Graduate Degree,2001471533
Yes,female,1971-06-09,48,Salaried,Not Eligible,Education Manager,2008-12-15,A,63,2016-10-26,96176,93374,2802,33,69,Married,Some College,2001471534
No,male,1962-05-26,57,Hourly,Not Eligible,Repairer Electronic Equipment,2011-10-09,A,95,2018-02-16,51644,47379,4265,39,26,Single,Graduate Degree,2001471535
No,male,1961-03-23,58,Salaried,Not Eligible,Storekeeper,2010-08-23,A,79,2015-07-03,91741,84166,7575,45,50,Married,PhD,2001471536
No,female,1981-11-30,37,Hourly,Eligible,Analyst Sales,2015-01-10,D,83,2015-03-04,173791,157991,15800,26,58,Married,Some College,2001471537
No,male,1974-11-14,44,Salaried,Not Eligible,Nurse Supervisor of Occupational Health,2012-06-25,A,96,2015-03-09,172234,158012,14222,23,75,Married,Some College,2001471538
No,female,1974-12-13,44,Salaried,Eligible,Clerk Photo Shop,2004-03-13,C,82,2016-09-16,171273,161578,9695,3,100,Married,Bachelors Degree,2001471539
No,female,1975-07-13,43,Salaried,Not Eligible,Banking Reserves Clerk,2003-11-09,C,31,2015-07-03,116446,101257,15189,13,93,Single,Graduate Degree,2001471540
Yes,male,1982-02-04,37,Hourly,Eligible,Manager Mental Health,2011-04-16,D,48,2016-08-23,97672,88792,8880,40,69,Married,Graduate Degree,2001471541
No,female,1972-05-20,47,Salaried,Eligible,Customer Account Clerk,2005-04-13,B,96,2014-04-18,67672,66345,1327,6,79,Single,Graduate Degree,2001471542
Yes,male,1975-02-08,44,Hourly,Not Eligible,Designer Printed Circuit,2014-02-07,A,65,2018-05-16,168014,168014,0,10,57,Married,PhD,2001471543
No,male,1983-04-11,36,Salaried,Not Eligible,Bonding Agent,2013-02-15,A,96,2017-05-04,160869,139886,20983,13,93,Married,PhD,2001471544
No,male,1972-04-15,47,Salaried,Eligible,Sales Representative Petroleum,2007-08-24,D,56,2013-12-25,146656,128645,18011,31,17,Single,PhD,2001471545
No,female,1980-04-05,39,Hourly,Not Eligible,Generic Clerk Interviewing,2009-01-13,D,88,2014-02-19,151878,144645,7233,21,75,Married,Bachelors Degree,2001471546
Yes,male,1979-04-17,40,Hourly,Not Eligible,Skip Tracer,2006-01-08,A,83,2015-04-25,150080,134000,16080,12,89,Married,Bachelors Degree,2001471547
No,female,1971-09-22,47,Salaried,Not Eligible,Water Maintenance Worker,2006-03-09,B,93,2016-03-16,161302,159704,1598,26,43,Married,PhD,2001471548
Yes,male,1968-09-07,50,Salaried,Eligible,Customer Sales Clerk,2017-11-02,B,80,2016-11-07,122207,112116,10091,0,92,Single,Graduate Degree,2001471549
No,female,1961-09-28,57,Salaried,Eligible,Business Agent,2013-04-08,A,61,2014-01-19,52062,50059,2003,20,67,Married,PhD,2001471550
No,female,1961-07-26,57,Salaried,Not Eligible,Speech Pathologist,2010-07-02,B,37,2013-11-10,75111,67667,7444,19,67,Married,Graduate Degree,2001471551
Yes,female,1971-08-23,47,Salaried,Eligible,Mental Health Technician,2005-01-03,D,89,2016-02-16,103947,102917,1030,27,45,Single,Bachelors Degree,2001471552
No,female,1976-10-05,42,Salaried,Not Eligible,Manager Theater,2010-07-13,A,34,2015-11-25,168409,154503,13906,16,33,Married,Some College,2001471553
No,female,1967-10-02,51,Hourly,Not Eligible,Tailor Custom,2008-12-05,C,60,2015-01-01,52756,48848,3908,44,83,Single,PhD,2001471554
Yes,male,1971-07-24,47,Hourly,Not Eligible,Contract/Buyer Specialist 1,2016-11-13,A,49,2017-01-02,95518,95518,0,11,83,Married,Bachelors Degree,2001471555
Yes,male,1976-09-29,42,Salaried,Not Eligible,Medical Laboratory Head,2004-04-21,A,37,2015-04-14,160256,147023,13233,36,33,Single,Bachelors Degree,2001471556
No,female,1967-03-11,52,Salaried,Not Eligible,Engineer Soils,2008-06-14,A,100,2018-03-22,196669,177179,19490,34,88,Married,Some College,2001471557
No,female,1984-06-07,35,Salaried,Eligible,Fast Food Manager 3,2016-10-04,B,50,2018-02-06,133257,129375,3882,39,17,Single,PhD,2001471558
No,female,1960-10-15,58,Salaried,Eligible,Loan Collector Commercial,2006-02-11,A,33,2014-03-04,137027,126876,10151,4,44,Single,Graduate Degree,2001471559
Yes,male,1963-03-29,56,Hourly,Eligible,Mining Engineer,2010-04-23,A,93,2014-02-11,73382,71943,1439,27,96,Married,Some College,2001471560
No,male,1981-05-15,38,Salaried,Not Eligible,Machine Shop Layout,2007-04-23,A,42,2016-05-22,51295,44995,6300,40,65,Married,Some College,2001471561
No,female,1971-12-24,47,Salaried,Not Eligible,Braille Proofreader,2006-09-14,B,89,2014-02-04,69659,61104,8555,41,76,Married,Graduate Degree,2001471562
Yes,male,1975-07-10,43,Hourly,Not Eligible,Rapid-Extractor Operator,2006-02-10,A,48,2014-06-17,58178,58178,0,42,26,Single,Bachelors Degree,2001471563
No,female,1966-11-06,52,Salaried,Not Eligible,Personnel Manager,2017-07-26,A,33,2016-12-12,55443,55443,0,12,98,Married,Graduate Degree,2001471564
Yes,male,1970-08-10,48,Salaried,Not Eligible,Extruder Operator Helper,2013-04-09,C,71,2014-08-01,126248,114770,11478,2,54,Married,PhD,2001471565
Yes,male,1977-03-09,42,Salaried,Not Eligible,Medical Nurse Anesthetist,2008-12-13,C,72,2017-03-15,169933,151725,18208,12,93,Married,Graduate Degree,2001471566
No,male,1977-11-22,41,Hourly,Eligible,Slaughter Laborer,2015-11-10,A,92,2016-04-01,185622,175115,10507,8,33,Single,PhD,2001471567
No,female,1980-06-19,38,Hourly,Not Eligible,Manager Internal Audit,2016-01-25,D,46,2016-12-09,195438,195438,0,34,44,Single,Graduate Degree,2001471568
No,female,1966-02-04,53,Salaried,Not Eligible,Technician Mechanical Design,2015-10-12,B,33,2016-05-13,120380,104678,15702,31,56,Married,PhD,2001471569
No,female,1967-06-18,52,Hourly,Not Eligible,Medical Exercise Physiologist,2004-12-20,B,81,2014-03-14,157241,148340,8901,37,62,Married,Graduate Degree,2001471570
No,male,1975-04-24,44,Salaried,Not Eligible,Detailer Automobile,2016-07-26,D,52,2016-04-26,66657,61719,4938,0,52,Married,Bachelors Degree,2001471571
Yes,male,1973-06-05,46,Hourly,Not Eligible,Systems Analysis Supervisor,2006-11-06,B,66,2017-05-28,121260,117728,3532,31,96,Single,Graduate Degree,2001471572
No,male,1981-11-26,37,Hourly,Not Eligible,Engineer Aeronautical,2006-06-22,D,31,2016-11-24,193951,181262,12689,24,72,Married,Graduate Degree,2001471573
Yes,male,1976-04-07,43,Hourly,Not Eligible,Fast Food Cook,2012-08-24,D,91,2013-12-05,75918,72998,2920,34,42,Married,Graduate Degree,2001471574
No,male,1981-07-25,37,Salaried,Not Eligible,Construction Contractor,2004-08-30,D,46,2017-06-06,72962,64568,8394,1,25,Married,PhD,2001471575
No,female,1966-11-06,52,Salaried,Not Eligible,Sales Manufacturer's Representative,2007-08-16,B,50,2015-03-23,150271,141765,8506,9,61,Married,Some College,2001471576
No,female,1977-02-01,42,Salaried,Not Eligible,Consultant 1,2009-04-25,D,72,2015-05-29,130523,130523,0,42,56,Single,PhD,2001471577
Yes,female,1977-08-25,41,Salaried,Not Eligible,Purchasing Clerk 2,2012-01-07,C,78,2016-07-04,187256,187256,0,29,87,Married,PhD,2001471578
No,male,1961-10-12,57,Salaried,Not Eligible,Engineer Corrosion,2012-03-11,C,32,2014-07-12,101707,96863,4844,16,60,Married,Graduate Degree,2001471579
Yes,male,1960-07-28,58,Salaried,Not Eligible,Underwriting Clerk,2010-08-10,C,91,2015-12-23,87909,82933,4976,30,20,Married,PhD,2001471580
Yes,female,1964-10-11,54,Hourly,Not Eligible,Engineer Sanitary,2017-09-09,C,90,2017-06-06,88034,80030,8004,8,66,Married,Graduate Degree,2001471581
Yes,male,1965-08-27,53,Hourly,Not Eligible,Computer Operator Lead,2013-05-07,D,96,2015-09-15,61072,61072,0,22,16,Single,Bachelors Degree,2001471582
No,female,1966-06-01,53,Salaried,Not Eligible,Plant Personnel Supervisor,2004-09-08,D,45,2017-09-14,63351,58658,4693,36,44,Married,Graduate Degree,2001471583
No,male,1960-01-15,59,Salaried,Not Eligible,Health & Safety Officer,2006-02-23,C,73,2014-07-04,177237,154119,23118,31,96,Married,PhD,2001471584
No,male,1968-01-16,51,Salaried,Not Eligible,Training Supervisor,2013-01-29,C,51,2017-05-05,158953,151383,7570,44,85,Married,Graduate Degree,2001471585
No,male,1972-11-19,46,Hourly,Eligible,IT Supervisor Quality Assurance,2012-03-14,A,84,2015-11-08,80634,80634,0,11,29,Married,Graduate Degree,2001471586
No,female,1969-07-19,49,Salaried,Eligible,Biomedical Engineer,2017-04-08,C,83,2018-01-12,121828,118279,3549,10,96,Married,Some College,2001471587
No,female,1983-09-27,35,Hourly,Not Eligible,Room Service Clerk,2010-08-25,A,89,2014-07-23,189510,175472,14038,44,12,Single,Graduate Degree,2001471588
No,male,1964-05-10,55,Salaried,Not Eligible,Clerk Health Unit,2009-09-25,C,80,2017-08-08,51793,46243,5550,27,92,Married,Some College,2001471589
Yes,male,1982-10-20,36,Hourly,Not Eligible,Repairer Truck,2005-06-19,C,91,2017-07-05,58040,51821,6219,10,68,Single,PhD,2001471590
No,female,1969-09-13,49,Salaried,Not Eligible,Designer Graphic,2010-08-22,C,96,2018-05-22,55993,50444,5549,16,45,Married,Some College,2001471591
No,female,1968-12-16,50,Salaried,Not Eligible,"Executive Secretary, CEO",2011-11-29,B,88,2013-11-04,146436,133123,13313,29,39,Single,Some College,2001471592
No,female,1983-03-20,36,Salaried,Not Eligible,Soil Scientist,2017-05-02,A,86,2014-02-26,174242,169166,5076,26,41,Married,Some College,2001471593
No,male,1972-08-22,46,Hourly,Not Eligible,Leasing Agent Residence,2005-03-26,A,83,2018-04-07,123474,123474,0,7,54,Married,Bachelors Degree,2001471594
